"file","pointCount","xMin","xMax","yMin","yMax","zMin","zMax"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","302.105721633726","347.105721633726","357.218026577935","357.218026577935","1164.07165090849","1364.07165090849"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-399.99999999999","400.000000000011","334.999999999996","335.000000000002","728.731864445919","1649.63298351714"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-399.999999999989","400.000000000011","334.999999999998","335.000000000003","-5.41433564649196E-13","728.731864445916"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","297.105721633728","352.105721633728","357.218026577935","357.218026577936","1872.73642301263","2092.73642301263"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","310.688331377777","337.034753630715","364.471612203325","364.471612203325","323.692545343582","486.388260276996"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","310.688331377782","337.03475363072","364.471612203325","364.471612203325","1903.69254534358","2066.388260277"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","302.105721633728","347.105721633728","357.218026577935","357.218026577935","1884.0716509085","2084.0716509085"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-289.670429673949","290.329570326051","-197.499999999998","152.500000000002","15.8483225204823","15.8483225204823"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-299.999999999989","300.000000000011","-1115","326.80954731435","25.4906178200785","25.4906178200785"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-299.999999999989","300.000000000011","-1115","334.356744523878","750.166546419563","750.166546419563"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-299.999999999989","300.000000000011","-451.1401739897","334.356744523878","1659.53311823189","1659.53311823189"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-299.999999999989","300.000000000011","-1115","-467.84236296071","1659.53311823189","1659.53311823189"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-299.999999999989","300.000000000011","-357.500000000014","42.4999999999855","1687.40963353644","1687.40963353644"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","237.105721633718","282.105721633719","-1137.21802657794","-1137.21802657794","1164.07165090848","1364.07165090848"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","237.105721633716","282.105721633716","-1137.21802657794","-1137.21802657794","304.071650908483","504.071650908483"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","232.105721633716","287.105721633716","-1137.21802657794","-1137.21802657794","292.736423012612","512.736423012612"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","232.105721633719","287.105721633718","-1137.21802657794","-1137.21802657794","1152.73642301261","1372.73642301261"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-400.000000000003","399.999999999997","-1115","-1115","0","728.731864445904"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-400.000000000003","399.999999999997","-1115","-1115","1649.63298351713","2300"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","-400.000000000003","399.999999999997","-1115","-1115","728.731864445905","1649.63298351713"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","245.68833137777","272.034753630708","-1144.47161220333","-1144.47161220333","323.692545343571","486.388260276984"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","237.105721633721","282.105721633721","-1137.21802657794","-1137.21802657794","1884.07165090848","2084.07165090848"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","232.105721633721","287.105721633721","-1137.21802657794","-1137.21802657794","1872.73642301261","2092.73642301261"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","245.688331377775","272.034753630713","-1144.47161220333","-1144.47161220333","1903.69254534357","2066.38826027699"
"03e335a1-1ca9-429d-907c-8060cecf4eaa.mod","4","245.688331377772","272.034753630711","-1144.47161220333","-1144.47161220333","1183.69254534357","1346.38826027698"
"0400924b-f7df-4022-9625-1edf00aedc59.mod","8","-255.284441941127","-239.166087824874","-207.62215974194","-207.62215974194","1706.64893561351","1718.75864486223"
"04410957-1583-4da5-bfd7-79b7fa5a1b19.mod","10","-20","20","-20","20","0","0"
